# Last updated: 2026-05-07
name,연차,특화분야,지역,최대지원금액_만원,지원시기,상태,program_code,설명,has_form
중소벤처기업부 통합공고,,★통합공고,전국,0,,통합공고,initial_package,중기부 산하 다수 사업을 한 번에 안내하는 통합 공고,false
중소기업 기술개발(R&D) 지원 통합공고,,★통합공고,전국,0,,통합공고,initial_package,R&D 관련 중소기업 지원사업 통합 공고,false
여성기업 육성사업 통합공고,,★통합공고,전국,0,,통합공고,initial_package,여성 창업자·기업인 대상 육성 지원 통합 공고,false
스마트제조혁신 통합공고,,★통합공고,전국,0,,통합공고,initial_package,제조 혁신 및 스마트팩토리 관련 지원 통합 공고,false
소상공인 지원사업 통합공고,,★통합공고,전국,0,,통합공고,initial_package,소상공인 전용 지원사업 통합 공고,false
중소기업 수출지원사업 통합공고,,★통합공고,전국,0,,통합공고,initial_package,수출 역량 강화 지원사업 통합 공고,false
중소기업 마케팅지원사업 통합공고,,★통합공고,전국,0,,통합공고,initial_package,판로개척·마케팅 지원사업 통합 공고,false
창업성장기술개발(디딤돌),7년 미만,R&D|일반(공통),전국,20000,1월,모집중,initial_package,창업 7년 미만 기술 기반 스타트업의 R&D 비용 지원. 최대 2억원. 기술성·사업성 평가 중심.,false
예비창업패키지,예비(사업자등록X),일반(공통),전국,6000,3월,모집중,initial_package,사업자 미등록 예비창업자 대상. 창업 아이디어 검증·초기 사업화 자금 지원. 최대 6천만원.,false
초기창업패키지,초기(0~3년 미만),일반(공통),전국,15000,2월,모집중,initial_package,창업 3년 이내 초기 창업기업 대상. 제품·서비스 고도화 및 시장 진출 지원. 최대 1억~1.5억원.,true
창업도약패키지,도약(3~7년 미만),일반(공통),전국,20000,2월,모집중,jumping_package,창업 3~7년 도약기 기업 대상. 스케일업·글로벌 진출 집중 지원. 최대 2억원.,true
창업중심대학 (예비)창업기업,도약(3~7년 미만)|예비(사업자등록X)|초기(0~3년 미만),일반(공통),전국,10000,3월,모집중,changjungdae,지역 소재 대학과 연계한 창업 지원. 예비~도약 전 단계. 지역 특화 멘토링 강점.,true
디자인주도 제조혁신사업,제한없음(예비 제외),제조업,전국,3000,3월,모집중,initial_package,제조 중소기업의 디자인 역량 강화 지원. 최대 3천만원. 제조업 한정.,false
창업중심대학 초기창업기업 (폐쇄),초기(0~3년 미만),일반(공통),비수도권,10000,3월,종료,changjungdae,,false
창업중심대학 도약창업기업 (폐쇄),도약(3~7년 미만),일반(공통),비수도권,30000,3월,종료,jumping_package,,false
청년창업사관학교 16기,초기(0~3년 미만),일반(공통),전국,10000,1월,모집중,youth_academy,만 39세 이하 청년 창업자 전용. 입교 후 1년간 집중 보육. 최대 1억원.,true
딥테크창업사관학교,도약(3~7년 미만)|초기(0~3년 미만),신산업/초격차|일반(공통)|청년(만 39세 이하),전국,20000,1월,모집중,youth_academy,딥테크·초격차 기술 창업자 대상. 청년 우대. AI·바이오·우주·반도체 등 첨단 기술 분야.,true
신사업 창업사관학교,예비(사업자등록X),일반(공통),전국,4000,2월,모집중,youth_academy,예비창업자 대상 신사업 아이템 발굴·검증 지원. 최대 4천만원. 교육 중심 프로그램.,false
글로벌창업사관학교,도약(3~7년 미만)|초기(0~3년 미만),일반(공통),전국,20000,1월,모집중,youth_academy,글로벌 시장 진출 목표 창업기업 집중 지원. 해외 액셀러레이터 연계. 최대 2억원.,false
재도전 성공 패키지,도약(3~7년 미만)|예비(사업자등록X)|초기(0~3년 미만),일반(공통),전국,10000,2월,모집중,comeback_package,폐업 경험 보유 (예비)재창업자 전용. 재창업 지원. 최대 1억원.,true
프리팁스,초기(0~3년 미만),투자,전국,10000,10월|5월|8월,모집중,initial_package,팁스 프로그램 전 단계. 투자 연계 R&D 지원. 민간 투자사 추천 필수.,false
