이름,연차,특화분야,지원시기(직전연도 공고 기준),최대 지원 금액,최신 업데이트 연도
,,,,,
중소벤처기업부 통합공고,,★통합공고,,,2026
중소기업 기술개발(R&D) 지원 통합공고,,★통합공고,,,2026
여성기업 육성사업 통합공고,,★통합공고,,,2025
스마트제조혁신 통합공고,,★통합공고,,,2025
소상공인 지원사업 통합공고,,★통합공고,,,2026
중소기업 수출지원사업 통합공고,,★통합공고,,,2026
중소기업 마케팅지원사업 통합공고,,★통합공고,,,2026
창업성장기술개발(디딤돌),7년 미만,"R&D, 일반(공통)",1월,2억,2026
예비창업패키지,예비(사업자등록X),일반(공통),3월,6000만원,2026
초기창업패키지,초기(0~3년 미만),일반(공통),2월,"1.5억, 1억",2026
창업도약패키지,도약(3~7년 미만),일반(공통),2월,2억,2026
창업중심대학 (예비)창업기업 ,"도약(3~7년 미만), 예비(사업자등록X), 초기(0~3년 미만)",일반(공통),3월,1억,2026
디자인주도 제조혁신사업,제한없음(예비 제외),제조업,3월,3천만 원,2026
창업중심대학 초기창업기업 (폐쇄),초기(0~3년 미만),일반(공통),3월,1억,2024
창업중심대학 도약창업기업 (폐쇄),도약(3~7년 미만),일반(공통),3월,3억,2024
청년창업사관학교 16기,초기(0~3년 미만),일반(공통),1월,1억,2026
딥테크창업사관학교,"도약(3~7년 미만), 초기(0~3년 미만)","신산업/초격차, 일반(공통), 청년(만 39세 이하)",1월,2억,2026
신사업 창업사관학교,예비(사업자등록X),일반(공통),2월,4천만 원,2025
글로벌창업사관학교,"도약(3~7년 미만), 초기(0~3년 미만)",일반(공통),1월,2억,2026
재도전 성공 패키지,"도약(3~7년 미만), 예비(사업자등록X), 초기(0~3년 미만)",일반(공통),2월,1억,2026
프리팁스,초기(0~3년 미만),투자,"10월, 5월, 8월",1억,2025
소상공인 판로개척,제한없음(예비 제외),일반(공통),1월,2천만 원,2025
강한소상공인,제한없음(예비 제외),일반(공통),1월,1억,2025
TIPS,성장(10년 미만),,"3월, 6월, 9월",15억,2026
희망 리턴 패키지,제한없음,일반(공통),연중(예산 소진시),,2025
중소환경기업 사업화,제한없음,그린/친환경,1월,3억,2026
녹색신산업 사업화,제한없음,그린/친환경,1월,3억,2026
"새활용 산업 육성(도전,성장,도약)","2년이상, 예비(사업자등록X), 제한없음(예비 제외)",그린/친환경,2월,1400만~2억,2026
농식품 벤처육성 지원사업(창업기업),5년 미만,농업/식품,2월,3천만 원,2026
농식품 벤처육성 지원사업(첨단기술),7년 미만,농업/식품,2월,2.1억,2026
에코스타트업,"도약(3~7년 미만), 예비(사업자등록X), 초기(0~3년 미만)",그린/친환경,1월,1억,2026
청년그린창업_스프링캠프,초기(0~3년 미만),그린/친환경,1월,8300만 원,2025
콘텐츠 엑셀러레이터 연계지원,"도약(3~7년 미만), 초기(0~3년 미만)",콘텐츠,3월,0.9억,2026
콘텐츠 창업도약 프로그램(4월),"도약(3~7년 미만), 초기(0~3년 미만)",콘텐츠,4월,1.8억,2026
관광 벤처 예비,예비(사업자등록X),관광,2월,7천만 원,2026
관광 벤처 초기,초기(0~3년 미만),관광,2월,8천만 원,2026
관광 벤처 도약,도약(3~7년 미만),관광,2월,1억,2026
관광글로벌챌린지프로그램,제한없음(예비 제외),관광,2월,2억,2026
스포츠 사회적기업,"도약(3~7년 미만), 예비(사업자등록X), 초기(0~3년 미만)",스포츠,3월,6500만원,2026
스포츠산업 예비 초기,"예비(사업자등록X), 초기(0~3년 미만)",스포츠,3월,5850만 원,2026
스포츠산업 창업 도약,도약(3~7년 미만),스포츠,3월,6500만 원,2026
스포츠 엑셀러레이팅 프로그램,"도약(3~7년 미만), 성장(10년 미만), 초기(0~3년 미만)",스포츠,2월,8250만 원,2025
스포츠산업 예비 선도기업 육성,"도약(3~7년 미만), 성장(10년 미만)",스포츠,1월,1억,2025
스포츠산업 선도기업 육성,"도약(3~7년 미만), 성장(10년 미만)",스포츠,1월,3억,2025
스포츠산업 창업 sport-up,"예비(사업자등록X), 초기(0~3년 미만)",스포츠,5월,600만원,2025
스포츠기업 해외진출 지원,제한없음(예비 제외),스포츠,1월,2억,2025
디자인-제조기업 시제품 제작 지원사업,제한없음(예비 제외),일반(공통),,2500만 원,2025
예술경영지원센터,"도약(3~7년 미만), 예비(사업자등록X), 초기(0~3년 미만)",문화/예술,1월,1억,2026
성장기 기초예술,7년 이상,문화/예술,3월,5천만 원,2025
특화창업패키지,"도약(3~7년 미만), 성장(10년 미만), 예비(사업자등록X), 초기(0~3년 미만)",신산업/초격차,2월,1.5억,2025
데이터 바우처,제한없음,일반(공통),2월,4500만 원,2025
관광 바우처,"도약(3~7년 미만), 성장(10년 미만), 초기(0~3년 미만)",관광,2월,1억,2026
전통문화 바우처,제한없음(예비 제외),문화/예술,3월,2천만 원,2025
클라우드 바우처,제한없음(예비 제외),일반(공통),4월,6910만원,2026
AI 바우처,제한없음(예비 제외),SW,3월,2억,2025
지식재산 바우처,제한없음(예비 제외),SW,4월,600만원,2024
수출바우처,제한없음(예비 제외),일반(공통),"1월, 3월, 5월, 7월",3천만 원~1억 원,2026
중소기업 (제조)혁신바우처,제한없음(예비 제외),제조업,"11월, 1월, 3월, 5월",5천만 원,2025
초격차1000+,성장(10년 미만),신산업/초격차,2월,6억 원,2025
SW (예비)고성장클럽,"도약(3~7년 미만), 제한없음(예비 제외)",SW,1월,1억(예비) / 3억(고성장),2025
해외지사화사업,제한없음(예비 제외),일반(공통),"10월, 1월, 2월, 3월, 4월, 6월, 8월",,2025
오션테크 스타트업 챌린지,"도약(3~7년 미만), 초기(0~3년 미만)",해양/수산,1월,5천만 원,2025
전남형 청년창업사관학교,"예비(사업자등록X), 초기(0~3년 미만)",일반(공통),5월,2400만 원,2025
부산 특화 창업패키지,"도약(3~7년 미만), 예비(사업자등록X), 초기(0~3년 미만)",일반(공통),3월,"2천만 원, 5500만 원, 5천만 원",2025
